Site,Borehole ID,"Pond plot, 2021",Date,Coring instance,Microrelief,Borehole depth (cm),Water depth (cm),Thaw depth (cm),Permafrost table (cm),Depth to massive ice (cm),Massive ice type,"Frozen protective layer (PL1, PL2) (cm)",Intermediate layer (PL3) (cm),Included in change analysis,Notes,,,,,,,,,,,,,,,,,,,
Jorgenson,DA1,21A-14,6/11/2007,Original,P,72,55,9,49,50,NA,41,1.0,Y,,,,,,,,,,,,,,,,,,,,
Jorgenson,DA1-B,21A-14,6/11/2007,Original,P,49,54,19,49,49,NA,30,0,N,,,,,,,,,,,,,,,,,,,,
Jorgenson,DA1/19,21A-14,7/10/2015,Redrilled,P,90,65,33,54?,58,NA,25,4?,Y,Stabilization since 2011,,,,,,,,,,,,,,,,,,,
Jorgenson,DA2 ,21A-08,6/11/2007,Original,P,105,48,3,48,48,TCI,45,0.0,P,,,,,,,,,,,,,,,,,,,,
Jorgenson,DA2/19,21A-08,7/10/2015,Redrilled,P,117,42,40,88?,98,WI,58,10?,P,Significant stabilization since 2011,,,,,,,,,,,,,,,,,,,
Jorgenson,DA3,21A-06,6/11/2007,Original,P,89,56,11,50,51,NA,40,1.0,Y,,,,,,,,,,,,,,,,,,,,
Jorgenson,DA3/19,21A-06,7/10/2015,Redrilled,P,93,49,34,66?,66,NA,32,0?,Y,Stabilization since 2011,,,,,,,,,,,,,,,,,,,
Jorgenson,SI3,21A-10,6/10/2007,Original,P,65,0,13,45,45,NA,32,0.0,Y,,,,,,,,,,,,,,,,,,,,
Jorgenson,SI3/19,21A-10,7/10/2015,Redrilled,P,85,65,35,50,50,NA,15,0,Y,Deep pond; some degradation since 2011,,,,,,,,,,,,,,,,,,,
Jorgenson,SI5,21A-11,7/23/2008,Original,P,83,0.5,[51],53,55,NA,[4],2.0,Y,,,,,,,,,,,,,,,,,,,,
Jorgenson,SI5/19,21A-11,7/12/2015,Redrilled,P,82,20,42,57?,60,NA,18,3,Y,"Deeper pond; some degradation, probably some stabilization since 2012",,,,,,,,,,,,,,,,,,,
Jorgenson,Mean (n=5),NA,2011-12,Original,P,83,32,NA,NA,50,NA,NA,0.8,All Y+P,"Average of all 2011-12 cores included in analysis. All cores obtained in June or July, so thicknesses of TL and IL are not precise.",,,,,,,,,,,,,,,,,,,
Jorgenson,Mean (n=5),NA,2019,Redrilled,P,93,48,37,NA,66,NA,NA,3.4,All Y+P,Average of all 2019 cores included in analysis. Depths to massive ice increased significantly since 2011-12,,,,,,,,,,,,,,,,,,,
Jorgenson,Mean (n=4),NA,2011-12,Original,P,77,28,NA,NA,50,NA,NA,1.0,Y only,"Average of all 2011-12 cores included in analysis. All cores obtained in June or July, so thicknesses of TL and IL are not precise.",,,,,,,,,,,,,,,,,,,
Jorgenson,Mean (n=4),NA,2019,Redrilled,P,88,50,36,NA,59,NA,NA,1.8,Y only,Average of all 2019 cores included in analysis. Depths to massive ice increased significantly since 2011-12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
