Plot ID,Horizon,Depth (cm),Gravel (%),Sand (%),Silt (%),Clay (%),Texture, Organic matter (%) , Bulk density (g/cm3) , Gravimetric soil moisture (%) , Volumetric soil moisture (%) , pH (saturated paste) , pH (1:2.5 volume) ,Wet color hue value/chroma,Dry color hue value/chroma,Notes
21-01,Oe1 + Oe2,11-16,0.00,56,42,2,Sandy loam, 32.3 , 0.28 , 256 , 72 , 6.8 , 6.5 ,10YR 2/2,10YR 3/2,
21-01,B,24-29,0.00,56,42,2,Sandy loam, 25.7 , 0.70 , 79 , 56 , 7.1 , 6.9 ,10YR 3/2,10YR 3/2,
21-02,Oi,1-6,0.00,58,38,4,Sandy loam, 36.5 , 0.12 , 511 , 64 , 7.4 , 7.2 ,7.5YR 3/2.5,10YR 4.5/2,
21-02,Oe,12-17,0.00,58,38,4,Sandy loam, 20.2 , 0.38 , 186 , 71 , 7.2 , 7.2 ,10YR 3/2,10YR 4/2,
21-02,B,25-30,0.00,58,38,4,Sandy loam, 11.6 , 1.10 , 53 , 58 , 7.1 , 7.1 ,10YR 3/2,10YR 3/2,
21-03,Oi,3-8,0.00,42,54,4,Silt loam, 26.3 , 0.35 , 201 , 70 , 7.0 , 7.3 ,10YR 3/2,10YR 3/2,
21-03,B,25-30,0.00,42,52,4,Silt loam, 28.6 , 0.36 , 271 , 97 , 7.0 , 7.3 ,10YR 3/2,10YR 3/2,
21-04,Oi,11-16,0.00,32,64,4,Silt loam, 29.1 , 0.32 , 230 , 74 , 6.9 , 7.1 ,10YR 2/1,10YR 3/2,
21-04,B,21-26,0.00,32,64,4,Silt loam, 24.0 , 0.62 , 112 , 69 , 7.0 , 7.1 ,10YR 2/1,10YR 3/2,"Tag removed. Bag of organic-looking ""gravel"" also removed. Gravel and bag weighed 2.7g, gravel weighed 0.3g."
21-05,B,3-8,0.00,44,52,4,Silt loam, 15.9 , 0.63 , 94 , 59 , 7.1 , 7.2 ,10YR 2/2,10YR 4/2,Tag removed.
21-06,A,3-8,0.00,30,66,4,Silt loam, 22.7 , 0.38 , 137 , 52 , 7.0 , 7.1 ,10YR 2/1,10YR 3/2,"Rip in original sample; a small amount of weight was lost transferring between bags. More organic-looking ""gravel"" was removed."
21-06,B,NA,0.00,30,66,4,Silt loam, 19.5 , 0.65 , 78 , 51 , 7.1 , 7.1 ,10YR 2/1,10YR 4/2,
21-07,Oa,3-8,0.00,44,50,6,Silt loam, 30.7 , 0.30 , 222 , 66 , 7.4 , 7.2 ,10YR 2/2,10YR 4/2,
21-07,B,NA,0.00,44,50,6,Silt loam, 12.3 , 0.81 , 61 , 50 , 7.2 , 7.2 ,10YR 3/1,10YR 5/2,Gravel was a single inorganic pebble.
21-08,Oe,3-8,0.00,48,46,6,Sandy loam, 27.5 , 0.32 , 210 , 67 , 7.0 , 7.1 ,10YR 2/2,10YR 4/2,
21-08,B,8-13,0.00,48,46,6,Sandy loam, 10.3 , 1.25 , 32 , 40 , 6.7 , 7.2 ,10YR 4/1,10YR 5/2,
21-09,Oe,2-7,0.00,44,50,6,Silt loam, 27.2 , 0.35 , 164 , 57 , 7.0 , 7.3 ,10YR 2/2,10YR 4/2,
21-09,Oa,6-11,0.00,44,50,6,Silt loam, 23.6 , 0.45 , 150 , 68 , 7.0 , 7.2 ,10YR 2/1,10YR 3/2,
21-09,B,16-21,0.00,44,50,6,Silt loam, 9.3 , 1.07 , 28 , 31 , 6.9 , 7.3 ,10YR 3/1,10YR 5/2,
21-10,Oa2,6-11,0.00,52,42,6,Sandy loam, 23.5 , 0.42 , 124 , 52 , 7.1 , 7.2 ,10YR 2/1,10YR 4/2,
21-10,B,17-22,0.01,52,42,6,Sandy loam, 6.5 , 1.17 , 26 , 31 , 7.0 , 7.4 ,10YR 3/1,10YR 5/1,Gravel appears inorganic.
21-11,Oi2,3-8,0.00,NA,NA,NA,NA, 48.6 , 0.11 , 492 , 56 , 7.0 , 7.2 ,10YR 2/2,10YR 5/2,
21-12,Oe,4-9,0.00,NA,NA,NA,NA, 57.0 , 0.16 , 385 , 60 , 7.1 , 7.1 ,10YR 2/1,10YR 4/2,Gravel appears twiggy.
21-12,Oa,11-16,0.00,NA,NA,NA,NA, 20.4 , 0.44 , 133 , 58 , 7.0 , 7.2 ,10YR 3/1,10YR 5/2,
21-13,Oe,3-8,0.00,44,52,4,Silt loam, 24.1 , 0.41 , 153 , 63 , 6.9 , 7.1 ,10YR 3/2,10YR 4/2,Inorganic gravel.
21-13,B,20-25,0.00,44,52,4,Silt loam, 11.3 , 0.75 , 70 , 53 , 7.1 , 7.3 ,10YR 3/1,10YR 4/1,
21-14,Oe,10-15,0.00,30,64,6,Silt loam, 23.7 , 0.37 , 191 , 72 , 7.0 , 7.0 ,10YR 2/2,10YR 4/2,Inorganic gravel.
21-14,B,19-24,0.01,30,64,6,Silt loam, 16.5 , 0.76 , 73 , 56 , 6.7 , 7.0 ,10YR 3/2,10YR 4/2,Inorganic gravel.
21-15,Oe,5-10,0.00,30,64,6,Silt loam, NA , 0.33 , 155 , 52 , 7.3 , 7.3 ,10YR 2/2,10YR 4.5/2,
21-15,Oa,14-19,0.00,30,64,6,Silt loam, 14.0 , 0.69 , 77 , 53 , 7.1 , 7.3 ,10YR 3/2,10YR 5/2,
21-15,B,25-30,0.02,30,64,6,Silt loam, 19.5 , 0.67 , 81 , 54 , 6.7 , 6.8 ,10YR 3/1,10YR 4/1,Gravel was a large water-eroded pebble.
21-16,Oe,6-11,0.00,44,48,8,Loam, 36.2 , 0.25 , 313 , 79 , 7.1 , 7.2 ,10YR 2/2,10YR 4/2,
21-16,Oa,11-16,0.00,44,48,8,Loam, 17.1 , 0.47 , 146 , 68 , 7.2 , 7.4 ,10YR 2/2,10YR 5/2,
21-16,B,23-28,0.02,44,48,8,Loam, 8.8 , 1.20 , 44 , 52 , 7.1 , 7.3 ,10YR 3/1,10YR 5/2,Inorganic gravel.
21-17,Oe,5-10,0.00,54,38,8,Sandy loam, 22.9 , 0.45 , 168 , 76 , 7.1 , 7.2 ,10YR 2/2,10YR 4.5/2,
21-17,B,23-28,0.09,54,38,8,Sandy loam, 9.4 , 1.20 , 31 , 37 , 7.0 , 7.2 ,10YR 3/2,10YR 4/1,Inorganic gravel.
21-18,Oe2,5-10,0.00,54,42,4,Sandy loam, 27.2 , 0.34 , 204 , 69 , 6.6 , 6.8 ,10YR 2/2,10YR 3/3,
21-18,B,20-25,0.03,54,42,4,Sandy loam, 12.9 , 0.91 , 50 , 46 , 6.6 , 6.9 ,10YR 3/2,10YR 4/1,Removed a piece of paper from inorganic gravel
21-19,Oe,4-9,0.00,34,64,2,Silt loam, 21.5 , 0.47 , 171 , 80 , 6.9 , 7.2 ,10YR 2/2,10YR 3/2,
21-19,B,19-24,0.00,34,64,2,Silt loam, 24.0 , 0.61 , 125 , 76 , 7.1 , 7.3 ,10YR 3/2,10YR 4/1,
21-20,A1,4-9,0.00,NA,NA,NA,NA, 17.1 , 0.61 , 97 , 59 , 7.0 , 7.1 ,10YR 2/2,10YR 3/3,
21-20,A2,24-29,0.00,NA,NA,NA,NA, 18.3 , 0.55 , 92 , 51 , 7.1 , 7.1 ,10YR 2/2,10YR 3/2,
21-21,A,5-10,0.00,NA,NA,NA,NA, 14.8 , 0.90 , 30 , 27 , 7.0 , 7.3 ,10YR 3/2,10YR 4/2,
21-22,A,10-15,0.00,NA,NA,NA,NA, 11.1 , 0.57 , 104 , 59 , 7.1 , 7.6 ,10YR 2.5/2,10YR 5/2,
21-23,Oe2,13-18,0.00,32,62,6,Silt loam, 21.7 , 0.38 , 182 , 69 , 7.0 , 7.4 ,10YR 2/2,10YR 3/2,
21-23,B,20-25,0.00,32,62,6,Silt loam, 24.3 , 0.62 , 95 , 59 , 7.0 , 7.3 ,10YR 3/2,10YR 5/2,
21-24,Marl,6-11,0.00,34,64,2,Silt loam, 15.0 , 0.41 , 116 , 47 , 7.2 , 7.5 ,10YR 3/2,10YR 5/2,
21-24,Oe,15-20,0.00,34,64,2,Silt loam, 15.0 , 0.70 , 83 , 58 , 7.1 , 7.2 ,10YR 2/2,10YR 4/1,
21-24,B,26-31,0.00,34,64,2,Silt loam, 34.1 , 0.44 , 117 , 52 , 6.9 , 6.9 ,10YR 2/2,10YR 3/2,
21-25,Oi?,10-15,0.00,NA,NA,NA,NA, 27.3 , 0.38 , 191 , 73 , 7.3 , 7.6 ,10YR 4/2,10YR 3/2,
21-26,Marl,0-5,0.00,NA,NA,NA,NA, 26.8 , 0.32 , 226 , 72 , 7.2 , 7.4 ,10YR 5/2,10YR 4.5/1,
21-26,Oi,6-11,0.00,NA,NA,NA,NA, 24.7 , 0.37 , 187 , 70 , 7.2 , 7.5 ,10YR 2/2,10YR 3/2,
21-27,Oe,10-15,0.00,56,40,4,Sandy loam, 28.0 , 0.38 , 198 , 75 , 6.3 , 6.5 ,10YR 3/2,10YR 3/2,
21-27,B,29-34,0.00,56,40,4,Sandy loam, 9.4 , 0.93 , 41 , 39 , 6.9 , 7.1 ,10YR 3.5/1,10YR 4/1,Inorganic gravel.
21-28,Oi2,10-15,0.00,NA,NA,NA,NA, 30.9 , 0.27 , 218 , 59 , 6.1 , 6.7 ,10YR 2/2,10YR 3/2,
21-29,Oe1,10-15,0.00,48,50,2,Silt loam, 23.7 , 0.43 , 147 , 63 , 6.9 , 7.5 ,10YR 3/3,10YR 4/2,
21-29,Oe2,35-40,0.01,48,50,2,Silt loam, 23.3 , 0.51 , 129 , 66 , 6.6 , 7.1 ,10YR 2/2,10YR 3/2,Inorganic gravel.
21-29,B,43-48,0.07,48,50,2,Silt loam, 19.5 , 0.63 , 100 , 63 , 6.9 , 7.2 ,10YR 3/2,10YR 3/2,Inorganic gravel.
21-30,Oe2,15-20,0.00,46,52,2,Silt loam, 32.8 , 0.38 , 163 , 63 , 6.2 , 6.4 ,10YR 3/2,10YR 3/2,
21-30,Oe3,25-30,0.00,46,52,2,Silt loam, 28.4 , 0.42 , 149 , 62 , 6.6 , 6.7 ,10YR 3/2,10YR 3/2,
21-30,B,44-48,0.05,46,52,2,Silt loam, 23.8 , 0.53 , 127 , 68 , 6.9 , 7.0 ,10YR 3/2,10YR 3/2,Inorganic gravel.
21-31.1,Oi1,5-10,0.00,NA,NA,NA,NA, 66.9 , 0.04 , 824 , 31 , 6.6 , 6.9 ,10YR 2/1,10YR 3/3,
21-31.1,Oi2,10-16,0.00,NA,NA,NA,NA, 25.6 , 0.32 , 204 , 66 , 6.6 , 7.0 ,10YR 2/2,10YR 3/3,
21-31.1,Oi3,16-21,0.00,NA,NA,NA,NA, 25.7 , 0.34 , 232 , 78 , 6.7 , 7.1 ,10YR 3/2,10YR 4/2,
21-31.2,Oi2,2-6,0.00,50,46,4,Sandy loam, 30.6 , 0.22 , 199 , 43 , 6.7 , 7.1 ,10YR 2/1,10YR 3/3,
21-31.2,Oi3,8-13,0.00,50,46,4,Sandy loam, 21.5 , 0.43 , 145 , 63 , 6.9 , 7.1 ,10YR 2/1,10YR 3/2,
21-31.2,B,31-36,0.06,50,46,4,Sandy loam, 13.2 , 0.95 , 46 , 43 , 6.9 , 7.4 ,10YR 3/1,10YR 4/1,Inorganic gravel.
21-32,Oi1,0-5,0.00,NA,NA,NA,NA, 69.8 , 0.05 , 863 , 41 , 6.4 , 6.7 ,10YR 2/2,10YR 3/4,
21-32,Oi2,10-15,0.00,NA,NA,NA,NA, 14.3 , 0.61 , 105 , 64 , 6.1 , 6.3 ,10YR 3/2,10YR 4/1,
21-32,Oi3,30-35,0.00,NA,NA,NA,NA, 37.2 , 0.29 , 256 , 74 , 5.6 , 5.8 ,10YR 2.5/2,10YR 3/2,
21-33.2,Oi3,10-15,0.00,66,30,4,Sandy loam, 31.4 , 0.39 , 206 , 81 , 6.2 , 6.4 ,10YR 2/2,10YR 3/2,
21-33.2,B,38-43,0.04,66,30,4,Sandy loam, 6.0 , 1.34 , 35 , 47 , 6.9 , 7.2 ,10YR 4/1,10YR 4.5/1,Inorganic gravel + small organic fiber
21-34,Oe1,10-15,0.00,34,64,2,Sandy loam, 35.3 , 0.28 , 236 , 66 , 6.4 , 6.3 ,10YR 2/2,10YR 4/2,
21-34,B,38-43,0.00,34,64,2,Sandy loam, 31.5 , 0.36 , 195 , 70 , 6.2 , 6.3 ,10YR 3/1,10YR 3/2,
21-35,Oi2,10-15,0.00,74,24,2,Loamy sand, 26.7 , 0.44 , 146 , 64 , 6.0 , 6.2 ,10YR 2/2,10YR 3/2,
21-35,B,30-35,0.06,74,24,2,Loamy sand, 6.8 , 1.32 , 30 , 40 , 6.8 , 7.0 ,10YR 3/2,10YR 4/1,Very nice inorganic gravel
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
